epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2888,1.10098,3.78235,1.33913,0.44202,0.3281,0.30279,0.22564,0.99973,2.39287,1.37115,0.000110515,0.000110515,0.000110515
2,101.39,1.10453,2.47504,1.35161,0.57359,0.58291,0.59533,0.41551,1.04271,1.65857,1.43125,0.000217129,0.000217129,0.000217129
3,150.352,1.09634,1.99977,1.33535,0.73892,0.62118,0.70402,0.49708,1.00903,1.54761,1.41235,0.000319348,0.000319348,0.000319348
4,198.379,1.07656,1.77657,1.31933,0.74387,0.65479,0.74169,0.51279,1.02276,1.32342,1.3851,0.00031322,0.00031322,0.00031322
5,247.921,1.05915,1.61907,1.30359,0.77009,0.699,0.77385,0.55307,0.95737,1.21961,1.34218,0.000306626,0.000306626,0.000306626
6,296.532,1.02727,1.51933,1.28408,0.78963,0.73294,0.80127,0.58417,0.94251,1.12841,1.32516,0.000300033,0.000300033,0.000300033
7,344.689,1.00757,1.42213,1.27516,0.82668,0.72154,0.81555,0.59142,0.96189,1.06544,1.33484,0.00029344,0.00029344,0.00029344
8,395.664,0.99479,1.33498,1.25299,0.80592,0.76736,0.82776,0.60402,0.93242,1.00923,1.31202,0.000286846,0.000286846,0.000286846
9,443.468,0.98371,1.29229,1.24422,0.82669,0.77444,0.83846,0.60544,0.91377,1.01821,1.30376,0.000280253,0.000280253,0.000280253
10,493.996,0.97856,1.23894,1.24102,0.81496,0.78241,0.84255,0.61608,0.91348,0.99132,1.27869,0.000273659,0.000273659,0.000273659
11,542.099,0.96331,1.17357,1.23104,0.82218,0.80181,0.86361,0.63929,0.87713,0.86975,1.26855,0.000267066,0.000267066,0.000267066
12,590.356,0.954,1.12507,1.22191,0.81737,0.7895,0.85165,0.63356,0.89948,0.93895,1.26638,0.000260473,0.000260473,0.000260473
13,639.644,0.95454,1.11586,1.22512,0.85311,0.81863,0.87246,0.65295,0.89466,0.86454,1.26673,0.000253879,0.000253879,0.000253879
14,687.152,0.93976,1.0627,1.21287,0.85128,0.79657,0.8645,0.63756,0.9106,0.87711,1.26958,0.000247286,0.000247286,0.000247286
15,736.582,0.91907,1.02111,1.20074,0.85178,0.80518,0.87381,0.65517,0.886,0.8404,1.26539,0.000240692,0.000240692,0.000240692
16,784.566,0.92033,1.00819,1.2075,0.85209,0.82105,0.88257,0.66199,0.87533,0.81193,1.24487,0.000234099,0.000234099,0.000234099
17,833.888,0.9193,0.98063,1.19443,0.85357,0.82789,0.88291,0.66624,0.84951,0.79905,1.22157,0.000227506,0.000227506,0.000227506
18,882.299,0.90744,0.94934,1.18259,0.88022,0.82624,0.8864,0.66667,0.86607,0.8028,1.2339,0.000220912,0.000220912,0.000220912
19,930.148,0.90486,0.92913,1.18681,0.85986,0.83507,0.89806,0.67694,0.85962,0.78034,1.22641,0.000214319,0.000214319,0.000214319
20,979.287,0.89688,0.91856,1.18381,0.86939,0.81233,0.88367,0.66632,0.87519,0.81671,1.24257,0.000207725,0.000207725,0.000207725
21,1027.29,0.89383,0.89572,1.17587,0.8789,0.84723,0.90107,0.68497,0.84805,0.7579,1.21222,0.000201132,0.000201132,0.000201132
22,1076.85,0.88882,0.88054,1.17728,0.86883,0.84173,0.8949,0.67896,0.85845,0.77391,1.23455,0.000194539,0.000194539,0.000194539
23,1124.59,0.87697,0.85762,1.16872,0.86497,0.82979,0.89164,0.68096,0.82615,0.74176,1.20517,0.000187945,0.000187945,0.000187945
24,1172.74,0.87426,0.8428,1.16125,0.89431,0.83477,0.90353,0.69291,0.83275,0.71972,1.20053,0.000181352,0.000181352,0.000181352
25,1222.77,0.86204,0.82973,1.16069,0.86171,0.84237,0.89466,0.68542,0.8287,0.73035,1.20063,0.000174758,0.000174758,0.000174758
26,1272.15,0.86686,0.83055,1.16161,0.87946,0.83935,0.89823,0.68248,0.83575,0.72321,1.21148,0.000168165,0.000168165,0.000168165
27,1322.02,0.8622,0.81287,1.16143,0.87558,0.84363,0.89532,0.68612,0.83806,0.72185,1.21126,0.000161572,0.000161572,0.000161572
28,1372.2,0.8452,0.79101,1.14753,0.87566,0.85699,0.90689,0.70315,0.81326,0.69002,1.18688,0.000154978,0.000154978,0.000154978
29,1419.99,0.85335,0.79181,1.15218,0.87731,0.84846,0.90871,0.70315,0.8094,0.67369,1.19062,0.000148385,0.000148385,0.000148385
30,1469.31,0.83819,0.76493,1.14903,0.8896,0.85458,0.91372,0.69916,0.81557,0.68395,1.18472,0.000141791,0.000141791,0.000141791
31,1517.75,0.84225,0.756,1.14094,0.89163,0.84017,0.9077,0.70238,0.82124,0.67557,1.18825,0.000135198,0.000135198,0.000135198
32,1567.5,0.83084,0.75299,1.13917,0.89211,0.84712,0.90735,0.70418,0.80444,0.67344,1.18152,0.000128605,0.000128605,0.000128605
33,1616.59,0.82971,0.73728,1.1367,0.88607,0.8602,0.90967,0.70424,0.79621,0.67396,1.17123,0.000122011,0.000122011,0.000122011
34,1665.13,0.82257,0.73787,1.13208,0.88496,0.88012,0.91668,0.71207,0.78958,0.65411,1.17144,0.000115418,0.000115418,0.000115418
35,1715.71,0.81814,0.72051,1.13048,0.88528,0.87372,0.91668,0.71169,0.80504,0.65776,1.18237,0.000108824,0.000108824,0.000108824
36,1765.01,0.81896,0.71921,1.1327,0.89275,0.85903,0.91489,0.70792,0.80444,0.64636,1.17533,0.000102231,0.000102231,0.000102231
37,1814.84,0.8158,0.70844,1.12227,0.89212,0.87265,0.91461,0.70859,0.79612,0.64197,1.1615,9.56376e-05,9.56376e-05,9.56376e-05
38,1865.78,0.7987,0.69564,1.11887,0.89724,0.85037,0.91359,0.71393,0.78647,0.64137,1.16385,8.90442e-05,8.90442e-05,8.90442e-05
39,1914.12,0.80195,0.69853,1.12773,0.88791,0.86252,0.91561,0.71478,0.79447,0.63929,1.17434,8.24508e-05,8.24508e-05,8.24508e-05
40,1964.4,0.79594,0.68235,1.11866,0.89835,0.85222,0.91316,0.71603,0.79745,0.63596,1.17465,7.58574e-05,7.58574e-05,7.58574e-05
41,2013.28,0.73548,0.60545,1.10317,0.88861,0.87525,0.91658,0.71581,0.79031,0.63014,1.17044,6.9264e-05,6.9264e-05,6.9264e-05
42,2061.64,0.7235,0.58092,1.08827,0.90127,0.86421,0.92003,0.72143,0.78056,0.62125,1.15555,6.26706e-05,6.26706e-05,6.26706e-05
43,2111.2,0.72266,0.57294,1.09217,0.89359,0.86853,0.92154,0.7249,0.77308,0.60702,1.15431,5.60772e-05,5.60772e-05,5.60772e-05
44,2158.93,0.71823,0.56823,1.09371,0.9114,0.85578,0.92105,0.72218,0.77874,0.60279,1.16203,4.94838e-05,4.94838e-05,4.94838e-05
45,2208,0.7104,0.55143,1.09315,0.90262,0.86964,0.919,0.72473,0.77161,0.59899,1.15049,4.28904e-05,4.28904e-05,4.28904e-05
46,2255.92,0.70632,0.53996,1.08349,0.89896,0.87243,0.92014,0.72591,0.76486,0.6003,1.14874,3.6297e-05,3.6297e-05,3.6297e-05
47,2306.05,0.70101,0.53384,1.07839,0.90124,0.88363,0.92443,0.73034,0.76505,0.59067,1.14885,2.97036e-05,2.97036e-05,2.97036e-05
48,2354.42,0.69601,0.52742,1.07776,0.89747,0.8759,0.92308,0.73313,0.76246,0.5872,1.14725,2.31102e-05,2.31102e-05,2.31102e-05
49,2402.92,0.68594,0.52586,1.073,0.90262,0.87694,0.92486,0.73273,0.75743,0.57981,1.14258,1.65168e-05,1.65168e-05,1.65168e-05
50,2452.86,0.68009,0.52124,1.07073,0.91174,0.86283,0.92484,0.73265,0.75381,0.58188,1.14366,9.9234e-06,9.9234e-06,9.9234e-06
